"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler_changed.nlogox"
"experiment_100_100"
"08/14/2026 13:02:43:785 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"373","8","16","250","141","45.597846981930026","0","0"
"380","8","18","175","74","37.33179546328335","0","0"
"377","8","18","150","328","11.84159938485198","0","0"
"379","8","18","175","338","12.995001922337563","0","0"
"382","8","18","200","77","36.94732795078816","0","0"
"381","8","18","175","185","75.77854671280276","0","0"
"384","8","18","200","76","37.13956170703575","0","0"
"383","8","18","200","110","48.05843906189927","0","0"
"385","8","18","225","68","36.13994617454825","0","0"
"378","8","18","150","534","26.682045367166474","0","0"
"386","8","18","225","76","36.75509419454056","0","0"
"387","8","18","225","118","39.792387543252595","0","0"
"389","8","18","250","99","34.94809688581315","0","0"
"390","8","18","250","87","37.60092272202999","0","0"
"363","8","16","150","1246","34.678969627066515","0","0"
"388","8","18","250","148","39.21568627450981","0","0"
"393","8","20","150","107","44.7520184544406","0","0"
"392","8","20","150","144","59.86159169550173","0","0"
"394","8","20","175","115","43.29104190695886","0","0"
"396","8","20","175","100","43.944636678200695","0","0"
"395","8","20","175","102","44.9442522106882","0","0"
"397","8","20","200","108","42.060745866974244","0","0"
"399","8","20","200","68","34.02537485582468","0","0"
"361","8","16","150","1500","31.257208765859286","80","0"
"398","8","20","200","125","46.44367550941946","0","0"
"401","8","20","225","63","31.718569780853517","0","0"
"400","8","20","225","78","36.485966935793925","0","0"
"403","8","20","250","69","33.44867358708189","0","0"
"404","8","20","250","77","34.525182622068435","0","0"
"402","8","20","225","149","45.597846981930026","0","0"
"405","8","20","250","154","46.40522875816993","0","0"
"391","8","20","150","476","7.920030757400999","0","0"
"408","10","4","150","1048","84.9288735101884","0","0"
"412","10","4","200","266","91.23414071510958","0","0"
"409","10","4","175","1500","36.79354094579008","39","0"
"413","10","4","200","132","54.171472510572855","0","0"
"407","10","4","150","1500","53.97923875432526","20","0"
"410","10","4","175","1500","52.78738946559016","25","0"
"411","10","4","175","1500","58.66974240676663","35","0"
"416","10","4","225","159","50.403690888119954","0","0"
"415","10","4","225","197","64.7443291041907","0","0"
"419","10","4","250","124","50.13456362937332","0","0"
"420","10","4","250","202","58.66974240676663","0","0"
"406","10","4","150","1500","46.28988850442138","29","0"
"414","10","4","200","1500","79.58477508650519","8","0"
"417","10","4","225","1500","44.13687043444829","44","0"
"418","10","4","250","1500","25.451749327181854","8","0"
"421","10","6","150","1500","48.78892733564014","66","0"
"422","10","6","150","1500","23.760092272203","47","0"
"423","10","6","150","1500","45.17493271818531","57","0"
"424","10","6","175","1500","52.40292195309496","59","0"
"425","10","6","175","1500","47.36639753940792","63","0"
"426","10","6","175","1500","63.39869281045752","28","0"
"427","10","6","200","1500","51.86466743560169","17","0"
"428","10","6","200","1500","58.323721645520955","22","0"
"433","10","6","250","174","49.134948096885815","0","0"
"434","10","6","250","150","46.36678200692042","0","0"
"435","10","6","250","195","56.40138408304498","0","0"
"432","10","6","225","565","45.25182622068435","0","0"
"431","10","6","225","949","34.40984236831988","0","0"
"437","10","8","150","398","46.1361014994233","0","0"
"430","10","6","225","1500","30.44982698961938","11","0"
"441","10","8","175","141","52.78738946559016","0","0"
"429","10","6","200","1500","55.32487504805844","46","0"
"442","10","8","200","122","47.05882352941177","0","0"
"439","10","8","175","926","88.77354863514033","0","0"
"445","10","8","225","160","54.97885428681276","0","0"
"444","10","8","200","291","93.81007304882738","0","0"
"447","10","8","225","101","43.32948865820838","0","0"
"440","10","8","175","1060","26.336024605920798","0","0"
"436","10","8","150","1500","36.562860438292965","16","0"
"438","10","8","150","1500","19.415609381007304","39","0"
"450","10","8","250","125","41.63783160322953","0","0"
"449","10","8","250","147","44.482891195693966","0","0"
"448","10","8","250","297","90.54209919261822","0","0"
"453","10","10","150","150","55.094194540561325","0","0"
"443","10","8","200","836","41.86851211072664","0","0"
"454","10","10","175","467","83.62168396770473","0","0"
"446","10","8","225","904","20.838139177239523","0","0"
"455","10","10","175","378","17.993079584775085","0","0"
"459","10","10","200","130","50.36524413687044","0","0"
"460","10","10","225","117","48.86582083813918","0","0"
"461","10","10","225","93","40.06151480199923","0","0"
"458","10","10","200","436","25.451749327181854","0","0"
"462","10","10","225","138","48.48135332564398","0","0"
"463","10","10","250","146","44.3675509419454","0","0"
"464","10","10","250","92","40.36908881199539","0","0"
"465","10","10","250","129","43.483275663206456","0","0"
"452","10","10","150","1500","43.32948865820838","53","0"
"451","10","10","150","1500","24.067666282199156","41","0"
"457","10","10","200","1331","32.75663206459054","0","0"
"469","10","12","175","408","16.224529027297194","0","0"
"470","10","12","175","458","25.297962322183775","0","0"
"471","10","12","175","399","23.337178008458284","0","0"
"472","10","12","200","162","55.94002306805075","0","0"
"456","10","10","175","1500","79.96924259900038","10","0"
"473","10","12","200","72","36.90888119953864","0","0"
"466","10","12","150","1500","36.639753940792005","45","0"
"467","10","12","150","1500","27.06651287966167","37","0"
"476","10","12","225","168","52.825836216839676","0","0"
"478","10","12","250","142","50.74971164936563","0","0"
"477","10","12","225","166","52.748942714340636","0","0"
"479","10","12","250","221","53.90234525182622","0","0"
"480","10","12","250","122","44.40599769319493","0","0"
"481","10","14","150","125","51.13417916186082","0","0"
"468","10","12","150","1500","31.833910034602077","41","0"
"482","10","14","150","107","48.09688581314879","0","0"
"485","10","14","175","118","45.597846981930026","0","0"
"474","10","12","200","782","21.06881968473664","0","0"
"488","10","14","200","73","35.870818915801614","0","0"
"484","10","14","175","330","15.032679738562091","0","0"
"483","10","14","150","371","50.788158400615146","0","0"
"487","10","14","200","183","50.13456362937332","0","0"
"489","10","14","200","194","57.51633986928105","0","0"
"491","10","14","225","108","37.0242214532872","0","0"
"492","10","14","225","90","36.255286428296806","0","0"
"486","10","14","175","410","43.867743175701655","0","0"
"490","10","14","225","174","56.362937331795465","0","0"
"495","10","14","250","87","37.87004998077663","0","0"
"494","10","14","250","112","39.33102652825836","0","0"
"493","10","14","250","149","51.05728565936178","0","0"
"497","10","16","150","114","52.133794694348325","0","0"
"500","10","16","175","79","36.8319876970396","0","0"
"501","10","16","175","90","38.83121876201461","0","0"
"502","10","16","200","98","40.44598231449442","0","0"
"496","10","16","150","314","9.304113802383698","0","0"
"499","10","16","175","312","8.073817762399077","0","0"
"504","10","16","200","123","48.05843906189927","0","0"
"506","10","16","225","98","36.67820069204152","0","0"
"505","10","16","225","160","48.981161091887735","0","0"
"507","10","16","225","156","48.212226066897344","0","0"
"508","10","16","250","88","33.67935409457901","0","0"
"475","10","12","225","1232","16.109188773548635","0","0"
"509","10","16","250","110","37.17800845828528","0","0"
"503","10","16","200","410","20.530565167243367","0","0"
"510","10","16","250","101","42.060745866974244","0","0"
"514","10","18","175","91","43.90618992695117","0","0"
"512","10","18","150","87","34.755863129565554","0","0"
"513","10","18","150","125","50.48058439061899","0","0"
"515","10","18","175","141","54.44059976931949","0","0"
"518","10","18","200","90","40.023068050749714","0","0"
"517","10","18","200","76","34.71741637831603","0","0"
"511","10","18","150","306","17.80084582852749","0","0"
"519","10","18","200","104","47.90465205690119","0","0"
"520","10","18","225","58","31.910803537101113","0","0"
"522","10","18","225","75","39.75394079200308","0","0"
"523","10","18","250","82","36.255286428296806","0","0"
"524","10","18","250","101","42.1760861207228","0","0"
"525","10","18","250","91","41.09957708573626","0","0"
"516","10","18","175","345","20.684352172241447","0","0"
"526","10","20","150","99","48.13533256439831","0","0"
"521","10","18","225","198","56.74740484429066","0","0"
"528","10","20","150","65","38.75432525951557","0","0"
"529","10","20","175","100","42.63744713571703","0","0"
"530","10","20","175","118","48.63514033064206","0","0"
"531","10","20","175","92","32.17993079584775","0","0"
"533","10","20","200","76","38.216070742022296","0","0"
"532","10","20","200","160","49.673202614379086","0","0"
